City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,provideniya,63,RU,1566618818,53,64.42,-173.23,55.53,3.91
1,senno,84,RU,1566618818,67,57.76,27.95,62.6,8.95
2,gubkinskiy,100,RU,1566618819,93,64.43,76.5,56.74,23.47
3,ottawa,40,CA,1566618819,63,45.42,-75.69,62.01,11.41
4,punta arenas,90,CL,1566618819,93,-53.16,-70.91,39.2,11.41
5,pa sang,75,TH,1566618819,83,18.53,98.94,82.4,3.36
6,ust-kuyga,96,RU,1566618819,48,70.0,135.55,68.8,7.78
7,coahuayana,97,MX,1566618820,84,18.62,-100.35,74.13,2.33
8,albany,1,US,1566618820,87,42.65,-73.75,63.0,4.83
9,naze,100,NG,1566618820,95,5.43,7.07,72.06,2.51
10,arraial do cabo,100,BR,1566618820,88,-22.97,-42.02,64.75,10.67
11,atar,7,MR,1566618821,62,20.52,-13.05,82.05,13.49
12,kangaatsiaq,0,GL,1566618821,81,68.31,-53.46,44.25,5.84
13,lubango,33,AO,1566618821,47,-14.92,13.49,59.47,2.17
14,nueva rosita,100,MX,1566618821,65,27.94,-101.22,80.03,10.76
15,lysyanka,6,UA,1566618822,97,49.25,30.83,58.72,7.54
16,georgetown,0,GY,1566618536,100,6.8,-58.16,75.2,4.7
17,avarua,0,CK,1566618822,78,-21.21,-159.78,75.2,14.99
18,broome,0,GB,1566618823,100,52.47,1.45,61.0,1.12
19,mataura,94,NZ,1566618824,77,-46.19,168.86,53.01,13.0
20,ushuaia,75,AR,1566618824,86,-54.81,-68.31,39.2,5.82
21,teya,20,MX,1566618824,83,21.05,-89.07,82.99,12.75
22,saskylakh,91,RU,1566618825,60,71.97,114.09,57.89,6.2
23,luwuk,94,ID,1566618825,79,-0.95,122.79,71.28,5.41
24,rikitea,35,PF,1566618813,69,-23.12,-134.97,71.64,21.12
25,fukuma,75,JP,1566618825,65,33.77,130.47,82.4,5.82
26,kapaa,75,US,1566618826,70,22.08,-159.32,87.8,12.75
27,tuktoyaktuk,90,CA,1566618826,70,69.44,-133.03,42.8,25.28
28,jalu,0,LY,1566618827,87,29.03,21.55,72.43,7.58
29,guerrero negro,0,MX,1566618827,85,27.97,-114.04,68.24,10.51
30,kabalo,55,CD,1566618828,40,-6.05,26.92,69.68,5.61
31,hobart,75,AU,1566618828,48,-42.88,147.33,63.0,18.34
32,hovd,40,NO,1566618828,87,63.83,10.7,55.99,8.05
